site_no,tif_px_x,tif_px_y,easting,northing,note
1,740,492,242681.2,364647.8,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
2,455,710,242044.5,364160.8,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
3,312,1120,241725.1,363244.9,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
4,307,545,241713.9,364529.4,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
5,431,775,241990.9,364015.6,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
6,445,845,242022.2,363859.2,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
7,329,1120,241763.1,363244.9,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
8,310,1162,241720.6,363151.1,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
9,287,1234,241669.2,362990.3,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
10,250,1295,241586.6,362854.0,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
11,457,627,242049.0,364346.2,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
12,258,652,241604.5,364290.3,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
13,225,617,241530.7,364368.5,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
14,450,729,242033.4,364118.3,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
15,324,946,241751.9,363633.6,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
16,632,530,242439.9,364562.9,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
18,322,1097,241747.4,363296.3,"numeral centre on ranwell_map_modified.tif (Martin's georeference, 2026-09-07); label-position proxy"
