well,canopy_1989,felled_year,note,source
nw9,forest,1995,clearfelled around 1995,"Martin Hollingham, verbal site history, 2026-08-21"
nw10,forest,1995,clearfelled around 1995,"Martin Hollingham, verbal site history, 2026-08-21"
ceh16,forest,1995,clearfelled around 1995,"Martin Hollingham, verbal site history, 2026-08-21"
ceh30,forest,1995,clearfelled around 1995,"Martin Hollingham, verbal site history, 2026-08-21"
ceh33,forest,1995,clearfelled around 1995,"Martin Hollingham, verbal site history, 2026-08-21"
wmc3,forest,2017,"clearfell compartment, felled December 2017","Martin Hollingham, verbal site history, 2026-08-21"
nw11,forest,,under canopy in 1989 and not recorded as felled,"Martin Hollingham, verbal site history, 2026-08-21"
nw12,forest,,under canopy in 1989 and not recorded as felled,"Martin Hollingham, verbal site history, 2026-08-21"
nw3,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
nw4,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
nw5,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
nw6,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
nw8,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
wmc2,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
nw13,open,,open dune,"Martin Hollingham, verbal site history, 2026-08-21"
