symbol,uses,documents,top_document,meaning,units,pipeline_key,definition_score,candidate_definition,definition_seen_in
β₃,679,17,docs/report/text/Newborough_Methods_Supplement.md,,,,12,"Conversely, the TLM performs relatively well at C4 Main Forest (median ΔNSE = +0.41, median TLM NSE = +0.25), where β₃ is so weak that misspecifying the drainage term has little impact on overall model performance.",report_edits/text/report9.md
β₂,604,18,docs/report/text/Newborough_Methods_Supplement.md,,,,11,"Recharge (β₁·Pc), atmospheric draw (β₂·PETc) and gravity drainage (β₃·hc_disp) are expressed as metres of water table change per month (m/month), where hc_disp is the mean displacement above the 3.7 m drainage datum (Section 3.4).",report_edits/text/report9.md
β₁,385,18,docs/report/text/Newborough_Methods_Supplement.md,,,,11,"Recharge (β₁·Pc), atmospheric draw (β₂·PETc) and gravity drainage (β₃·hc_disp) are expressed as metres of water table change per month (m/month), where hc_disp is the mean displacement above the 3.7 m drainage datum (Section 3.4).",report_edits/text/report9.md
λ,242,15,docs/report/text/Newborough_Methods_Supplement.md,,,,15,"where λ is the inland decay length, *K* the hydraulic conductivity, *b* the saturated thickness, *S*y the specific yield and β₃ the drainage coefficient (in daily units).",docs/papers/paper_1/text/PAPER1_SI_methods.md
β,194,11,docs/report/text/Newborough_Methods_Supplement.md,,,,5,"A Δβ-projected predicted step (*Δh_predicted = Δβ₁·mean_P − Δβ₂·mean_PET − Δβ₃·mean_h_disp*) is not commensurable with the observed 10a step: the 10a step is the coefficient on a felling dummy in an ANCOVA fitted to the *control-differenced* centroid (target centroid minus control centroid), with re",docs/report/text/Newborough_Methods_Supplement.md
P_flood,128,12,docs/report/text/Newborough_Methods_Supplement.md,,,,11,"The iterated derivation reduces to the form P_flood = A · d + B for each cluster, where d is the observed summer-minimum depth below ground (m, positive) and P_flood is the cumulative winter rainfall required over the cluster\'s recharge horizon (mm).",report_edits/text/report9.md
δ₀,110,9,docs/report/text/Newborough_Methods_Supplement.md,,,,9,"The decay amplitude δ₀ is the value at zero distance, where no well sits --- the nearest is at 147 m --- so it is an extrapolation beyond the network, and it is the one distance at which the two functional forms disagree materially: they differ by 9.3 mm yr⁻¹ at the shoreline and by 1.6 mm yr⁻¹ at 1",docs/report/text/Newborough_Methods_Supplement.md
Δ,105,8,docs/report/text/Newborough_Methods_Supplement.md,,,,12,"where Δ*h*(*t*) is the change in water table during month *t* (m, signed;",docs/papers/paper_1/text/PAPER1_SI_methods.md
α,86,8,docs/report/text/Newborough_Methods_Supplement.md,,,,13,"where α is the intercept --- the mean BACI gap (target centroid minus control) over the pre-intervention baseline, when CWB = 0 and D_scrape = D_fell = 0, absorbing the constant offset between the two centroid levels rather than being an effect of interest;",report_edits/text/report8.md
z₀,62,6,docs/report/text/Newborough_Methods_Supplement.md,,,,15,where z₀ is the drainage datum depth (metres below ground surface).,report_edits/text/report8.md
τ,55,6,docs/report/text/Newborough_Methods_Supplement.md,,,,6,τ is legitimate where it **ranks** wells;,PIPELINE_README.md
h_disp,46,7,docs/report/text/Newborough_Methods_Supplement.md,,,,13,"where the overbars denote long-term monthly means, overline h_disp is the mean displacement above the drainage datum (Section 3.4), overline PET is Thornthwaite potential evaporation --- above-canopy at the forested clusters and open-dune elsewhere --- and overline P is gross rainfall;",report_edits/text/report8.md
t_R,45,5,docs/report/text/Newborough_Methods_Supplement.md,,,,5,"It is **not** a residence time or drainage timescale in the hydraulic sense: the head-space recession e-folding time is t_R = 1/β₃ (months), which is the genuinely time-like quantity (the interval over which a recharge perturbation decays).",docs/report/text/Newborough_Methods_Supplement.md
H₀,40,4,docs/report/text/Newborough_Methods_Supplement.md,,,,8,"the displayed field is the long-term equilibrium superposition Σᵢ H₀,ᵢ · \[exp(−dᵢ/λ) − exp(−dᵢ′/λ)\] where di​ is Euclidean distance to cut i\'s footprint, di′​ is distance to its mirror image reflected across the OS High Water Mark coastline (method of images;",report_edits/text/report9.md
ρ,31,6,docs/report/text/Newborough_Methods_Supplement.md,,,,13,"Build the correlation-distance matrix.** Distance between two wells *i* and *j* is *1 − ρ(i, j)* where ρ is the Pearson correlation of the two monthly depth series over their common non-NaN months.",docs/report/text/Newborough_Methods_Supplement.md
δ,29,6,docs/report/text/Newborough_Methods_Supplement.md,,,,8,"δ is the coefficient on CWB, the centred cumulative water balance anomaly (cumulated P − PET departure from the long-run mean), and measures the climate sensitivity of the BACI gap;",report_edits/text/report8.md
