kind,old,new,typed_refs,documents
figure,37,39,,
figure,38,40,,
figure,39,41,,
figure,40,42,,
figure,41,43,,
figure,42,44,,
figure,43,45,,
figure,44,46,,
figure,45,47,,
figure,46,48,,
figure,47,49,,
figure,48,50,,
figure,49,51,,
figure,50,52,,
figure,51,53,,
figure,52,54,,
figure,53,55,,
figure,54,56,,
figure,55,57,,
figure,56,58,,
figure,57,59,,
figure,58,60,,
figure,59,61,,
figure,60,62,,
figure,61,63,,
figure,62,64,,
figure,63,65,,
figure,64,66,,
figure,65,67,,
figure,66,68,,
figure,67,69,,
figure,68,70,,
figure,69,71,,
figure,70,72,,
figure,71,73,,
figure,72,74,,
figure,73,75,,
figure,74,76,,
figure,75,77,,
