document,chapter,level,number,heading,typed_prefix
report6.odt,1,1,1,Introduction,
report6.odt,1,2,1.1,The Newborough Warren Analytical Architecture,
report7.odt,2,1,2,Study Site,
report8.odt,3,1,3,Methods,
report8.odt,3,2,3.1,Data Sources and Preparation,
report8.odt,3,3,3.1.1,Groundwater Records,
report8.odt,3,3,3.1.2,Climate Data,
report8.odt,3,2,3.2,Hierarchical Clustering,
report8.odt,3,3,3.2.1,Data Pre-processing and the Pearson Correlation Distance,
report8.odt,3,3,3.2.2,Agglomeration Strategy,
report8.odt,3,3,3.2.3,Cluster Determination and Robustness Assessment,
report8.odt,3,3,3.2.4,Seasonal Amplitude as a Secondary Cluster Descriptor,
report8.odt,3,2,3.3,Checking Cluster Allocation with Pearson Affinity Analysis,
report8.odt,3,3,3.3.1,Cluster Membership and Affinity Scoring,
report8.odt,3,3,3.3.2,Classification Criteria,
report8.odt,3,3,3.3.3,Extended Network Classification,
report8.odt,3,2,3.4,Using Models to derive the Aquifer Architecture,
report8.odt,3,3,3.4.1,Modelling the Cluster water levels,
report8.odt,3,3,3.4.2,State-Space vs. Traditional Linear Model Benchmark,
report8.odt,3,3,3.4.3,Spatial Coefficient Mapping,
report8.odt,3,3,3.4.4,Within-Forest Spatial Coefficient Analysis,
report8.odt,3,3,3.4.5,Drawdown-Field visualization,
report8.odt,3,3,3.4.6,Drainage Decay Half-life and Aquifer Diagnostic Synthesis,
report8.odt,3,2,3.5,Anthropogenic Interventions,
report8.odt,3,3,3.5.1,The Before-After Control-Impact (BACI) Design,
report8.odt,3,3,3.5.2,Hierarchical Nested Control Application,
report8.odt,3,3,3.5.3,Dune Scraping Intervention Analysis,
report8.odt,3,3,3.5.4,Clearfell BACI experiment,
report8.odt,3,2,3.6,Threshold Forecasting,
report8.odt,3,3,3.6.1,Cluster-Level Mechanistic State-Space Equations,
report8.odt,3,3,3.6.2,Seasonal Prediction Equations,
report8.odt,3,3,3.6.3,Algebraic Derivation of the Critical Rainfall Threshold (P_flood​),
report8.odt,3,3,3.6.4,Long-Term Climate Trajectory and Threshold Exceedance Analysis,
report8.odt,3,3,3.6.5,Spatial Distribution of Threshold Metrics,
report8.odt,3,2,3.7,Characterizing Water Table Losses and Long-Term Trajectories,
report8.odt,3,3,3.7.1,Depth-Dependent Evapotranspiration Model,
report8.odt,3,3,3.7.2,Mean Monthly Water Balance Decomposition,
