id,pattern,kind,reason,allow_docs,allow_context,severity
RP-01,residence time,phrase,"tau (Sy/beta_3) is retired as a residence time -- CLAUDE.md 'Retired and corrected quantities' and the project box: its reading stands as the ratio of stored volume to drainage flux, not the interval over which the aquifer replaces its water.",,"\bnot\b\**.{0,25}$",gate
RP-02,drainage timescale(?!s),phrase,"tau must not be called a drainage timescale -- the Sy-free recession timescales are t_R = 1/beta_3 and t half = ln(2)/beta_3; CLAUDE.md 'Retired and corrected quantities' names this phrasing directly. The plural 'drainage timescales' (a heading over t_R and t half, which are timescales) is not matched.",,"\bnot\b\**.{0,25}$",gate
RP-03,"(?:\btau\b|τ)[^.]{0,200}\bused throughout\b|\bused throughout\b[^.]{0,200}(?:\btau\b|τ)",phrase,"tau is not 'used throughout' the pipeline in the sense of a relied-on downstream quantity -- CLAUDE.md 'Retired and corrected quantities' says exactly this of tau, distinguishing it from the per-well Sy that genuinely is consumed by several scripts.",,,gate
RP-04,aquifer'?s memory|retains a disturbance,phrase,"t half = ln(2)/beta_3 is the recession constant of the drainage term at the project datum, not the aquifer's memory (D-109); the datum-free mean-reversion time is a different, shorter quantity from Script 25 / autocorrelation / Model B.",,,gate
RP-05,\b117\s+(measuring points|dipwells|wells)\b,number,117 counted measuring points and traces to no committed file; retired 2026-09-20. 88 dipwells (66 reference + 22 extended) is the correct figure everywhere except the measuring-points count that includes the Llyn Rhos-Ddu lake gauge. report15 §9's web-map sentence dropped the count on Martin's ruling (2026-09-21r).,,,gate
RP-06,"1,?172\s*ha",number,"1,172 ha is a bounding box, retired for the 845.6 ha study-area KML, 2026-09-20.",,,gate
RP-07,\b8\.4\s*ha\b,number,"The clearfell area was corrected to 4.4 ha from clearfell.kml, 2026-09-20; 8.4 ha is the retired figure.",,,gate
RP-08,\b53\.15\b,number,"53.15 is a stale Thornthwaite latitude; RAF_VALLEY_LAT_DEG in config.py is the constant and must be imported, never typed.",,,gate
RP-09,\b(49|46|39)\s+(steps|scripts|phases)\b,number,"49/46/39 are stale pipeline step counts. The step count is derived, never hard-typed -- outputs/pipeline_manifest.json (total_registered / total_phases) is the single source of truth.",,,gate
RP-10,"Figure\s*\d+[^.]{0,80}Pye|Pye[^.]{0,80}Figure\s*\d+",phrase,"No Pye & Blott figure -- Martin does not own it (CLAUDE.md non-negotiables). Matches only an actual 'Figure N' cross-reference near Pye & Blott, never the common noun 'figures' (as in 'published figures') or a bibliographic citation such as '(Pye and Blott, 2024)', which the bare-word form of this pattern false-matched in the live corpus (MS §S.15, 'published figures ... Pye').",,,gate
RP-11,\u2003,char,"The em space (U+2003) must never appear in any document, prose, table or pasted fragment (CLAUDE.md 'Spelling and characters').",,,gate
RP-12,\b(19|20)\d{2}-\d{2}-\d{2}\b,date,"Monthly data are referred to by month and year only, never YYYY-MM-DD (SSM Formulation reference: export dates as YYYY-MM or Mon YYYY, never YYYY-MM-DD). Genuinely daily dates -- imagery frame dates, felling/scrape/survey event dates -- are legitimate and are admitted via allow_context; this row is advisory, not gating, because the admission list is a heuristic, not a proof.",,frame|scene|capture|image|aerial|felling|clearfell|scrape|event|survey|flight|acquired|readings? taken,advisory
RP-13,inverse.distance|\bIDW\b,phrase,"Only three routines are inverse-distance weighted: Script 20 plot_msl5_change (power 2, one-cell blur), Script 32 (config.DIFF_IDW_POWER) and the Script 19 viewer (power 1, eight neighbours). Everything drawn through map_utils.add_idw_surface() or Script 20's idw_surface() is scipy griddata linear — piecewise-linear over a Delaunay triangulation — and the report was reworded on 2026-09-21 (reason 21p; Martin: reword rather than change code). Advisory: check the producing function before calling a new surface IDW.",,,advisory
