site_no,month,depth_min_cm,depth_max_cm,level_max_m_od,level_min_m_od,line_pair_disagreement_px,source
1,1,-0.4,25.0,9.114,8.86,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,2,9.7,36.4,9.013,8.746,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,3,0.7,60.2,9.103,8.508,6,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,4,10.7,55.7,9.003,8.553,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,5,42.6,68.8,8.684,8.422,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,6,76.6,85.6,8.344,8.254,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,7,88.8,94.4,8.222,8.166,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,8,104.5,118.1,8.065,7.929,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,9,68.4,83.4,8.426,8.276,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,10,50.5,88.4,8.605,8.226,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,11,19.1,85.0,8.919,8.26,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
1,12,-0.9,54.2,9.119,8.568,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,1,-0.6,11.1,11.626,11.509,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,2,0.4,10.7,11.616,11.513,5,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,3,-0.6,32.7,11.626,11.293,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
